State,Ages_Under,Total Cases_Under,Violent Crime_Under,Property Crime_Under,Murder and Non-Negligent Manslaughter_Under,Rape_Under,Robbery_Under,Aggravated Assault_Under,Burglary_Under,DUI_Under,Liqour Laws_Under,Drunkenness_Under,Disorderly Conduct_Under,Vagrancy_Under,"All Other Offenses, Non Traffic_Under",Suspicion_Under,Curfew and Loitering_Under,Total Number of Police Agencies_Under,2016 Estimated Population_Under,Ages_All,Total Cases_All,Violent Crime_All,Property Crime_All,Murder and Non-Negligent Manslaughter_All,Rape_All,Robbery_All,Aggravated Assault_All,Burglary_All,DUI_All,Liqour Laws_All,Drunkenness_All,Disorderly Conduct_All,Vagrancy_All,"All Other Offenses, Non Traffic_All",Suspicion_All,Curfew and Loitering_All,Total Number of Police Agencies_All,2016 Estimated Population_All
ALABAMA  ,Under 18,4800,321,1229,15,32,109,165,318,28,225,31,378,2,1096,0,0,240.0,3800629.0,Total all ages,154482,6187,18479,312,384,1177,4314,3004,8126,2496,7283,2129,67,69052,0,0,,
ALASKA,Under 18,1893,216,494,8,21,35,152,104,31,121,18,11,0,269,0,12,32.0,738566.0,Total all ages,29462,2298,3495,41,130,282,1845,538,3063,775,112,738,4,11340,0,12,,
ARIZONA,Under 18,22997,1020,5113,15,53,336,616,759,211,1668,84,1436,65,2924,0,1061,90.0,6391343.0,Total all ages,263699,11145,37592,242,344,1849,8710,3957,23498,9745,14100,15874,351,71741,130,1061,,
ARKANSAS,Under 18,8045,424,1801,10,44,91,279,414,44,219,87,470,0,1765,0,363,271.0,2786173.0,Total all ages,132165,4860,13791,143,289,561,3867,2174,6703,1769,6589,2425,890,60504,0,363,,
CALIFORNIA ,Under 18,58758,7015,12519,92,275,2601,4047,4583,493,1210,880,1264,101,9645,0,1454,613.0,39012007.0,Total all ages,1118712,106828,115354,1437,2560,15866,86965,40808,129752,8857,69869,3906,6597,285231,0,1454,,
COLORADO,Under 18,21548,636,4753,6,52,126,452,432,217,1389,47,1727,0,6099,0,1153,193.0,5008754.0,Total all ages,225710,6691,29879,150,414,941,5186,2571,23364,9025,249,7486,453,100277,0,1153,,
CONNECTICUT,Under 18,8264,416,1902,5,28,161,222,261,41,49,0,1485,0,978,0,4,104.0,3526707.0,Total all ages,100280,3741,14845,62,222,1016,2441,1935,8533,225,8,11640,36,26714,0,4,,
DELAWARE,Under 18,3704,348,712,5,12,119,212,137,0,84,1,287,0,345,0,47,56.0,950787.0,Total all ages,33553,2224,7165,29,58,526,1611,1053,355,884,345,1312,332,5558,0,47,,
DISTRICT OF COLUMBIA,Under 18,671,83,47,0,0,58,25,0,0,0,0,39,0,338,0,1,2.0,0.0,Total all ages,10271,161,132,1,2,94,64,0,11,1024,89,172,30,7798,0,1,,
FLORIDA ,Under 18,57843,3861,17688,45,248,1541,2027,4817,109,496,0,0,0,18548,0,0,668.0,20566240.0,Total all ages,726396,35807,102639,642,1747,6521,26897,18037,35042,14280,0,0,0,313994,0,0,,
GEORGIA,Under 18,22646,1282,5599,60,42,514,666,1043,89,326,20,2184,99,4380,0,330,402.0,8150300.0,Total all ages,238684,11105,32573,403,274,2018,8410,4506,18939,4262,1442,14886,1574,69708,0,330,,
HAWAII,Under 18,3597,175,688,1,23,72,79,85,23,92,4,95,3,1201,7,172,4.0,1428557.0,Total all ages,42301,1341,4426,35,154,294,858,636,5929,575,4,1074,3,19671,7,172,,
IDAHO,Under 18,5298,117,1028,0,23,8,86,163,61,324,30,237,0,1557,0,57,101.0,1324720.0,Total all ages,46962,1279,4955,23,99,79,1078,808,6195,1324,254,1458,10,16472,0,57,,
ILLINOIS,Under 18,10186,1003,2964,45,35,665,258,301,7,32,0,877,0,1154,0,79,2.0,2872516.0,Total all ages,67983,4030,12623,287,276,1631,1836,992,2929,165,0,3756,4,11165,0,79,,
INDIANA,Under 18,12420,758,3074,12,19,298,429,317,61,745,38,697,33,2374,8,218,204.0,4305899.0,Total all ages,143554,7323,19954,160,193,1325,5645,2208,13492,3665,4316,3517,81,50656,19,218,,
IOWA,Under 18,10671,558,2556,3,34,110,411,391,71,689,99,1211,0,1519,0,404,206.0,2810823.0,Total all ages,95962,4876,13033,55,154,396,4271,1585,9836,3943,6983,4104,9,29178,0,404,,
KANSAS,Under 18,4081,170,910,6,25,33,106,84,58,408,0,204,0,619,0,0,228.0,1732223.0,Total all ages,53823,1948,4899,50,126,205,1567,579,5923,2593,134,1558,0,17857,0,0,,
KENTUCKY,Under 18,5639,402,1466,17,32,223,130,340,66,26,57,230,0,1028,0,3,419.0,4424357.0,Total all ages,210586,3487,18219,185,236,1122,1944,2994,16901,94,14259,4095,137,106159,0,3,,
LOUISIANA,Under 18,19018,1328,4669,28,112,333,855,1211,32,233,25,2537,51,3584,9,299,168.0,4183659.0,Total all ages,191920,11372,32355,339,499,1646,8888,5422,7587,3596,3567,10435,250,56154,33,299,,
MAINE,Under 18,3160,45,814,1,13,7,24,136,28,459,4,105,0,561,0,8,195.0,1328762.0,Total all ages,43473,774,5668,16,61,139,558,681,5834,2218,17,1309,0,14943,0,8,,
MARYLAND,Under 18,19506,1935,4862,11,74,1067,783,932,60,512,8,873,23,2522,30,47,143.0,5197665.0,Total all ages,182631,9737,25715,270,403,3223,5841,4777,17809,5398,14,4639,139,55773,131,47,,
MASSACHUSETTS,Under 18,6939,849,1285,6,28,185,630,213,46,291,38,394,0,1464,0,0,342.0,6436240.0,Total all ages,119180,9656,14973,58,303,1263,8032,2135,9008,2000,5600,4329,11,35706,2,0,,
MICHIGAN,Under 18,17629,1160,4802,14,117,276,753,715,194,1371,4,666,0,2723,0,325,606.0,9696514.0,Total all ages,255900,12163,26295,166,760,1467,9770,3284,27571,10690,367,6536,241,87235,0,325,,
